hostname,hasRootAccess,getServerMaxRam,getServerNumPortsRequired,getServerRequiredHackingLevel,getServerMoneyAvailable,getServerMaxMoney,getServerSecurityLevel,getServerMinSecurityLevel,getServerGrowth,getHackTime,getWeakenTime,getGrowTime,score
darkweb,false,0,5,1,0,0,1,1,1,9306,37222,29778,0
iron-gym,true,32,1,100,20000000,500000000,30,10,20,148148,592593,474074,6075000
max-hardware,true,32,1,80,10000000,250000000,5,5,30,27778,111111,88889,25650000
phantasy,true,32,2,100,24000000,600000000,7,7,35,41667,166667,133333,46872000
avmnite-02h,true,32,2,213,0,0,1,1,1,19120,76481,61185,0
catalyst,false,64,3,409,389625557,9740638925,63,21,52,1202176,4808704,3846963,33285099
the-hub,false,64,2,286,194191223,4854780575,44,15,55,591852,2367407,1893926,38347602
syscore,false,0,4,647,528242921,13206073025,65,22,63,1956250,7825000,6260000,33172980
alpha-ent,false,128,4,517,669129568,16728239200,51,17,50,1229954,4919815,3935852,56442932
snap-fitness,false,0,4,703,450000000,11250000000,49,16,54,1604028,6416111,5132889,31813664
neo-net,true,32,1,50,5000000,125000000,25,8,25,67130,268519,214815,4282759
johnson-ortho,false,0,2,266,73938377,1848459425,42,14,56,526481,2105926,1684741,16908820
harakiri-sushi,true,16,0,40,4000000,100000000,15,5,40,37037,148148,118519,10260000
hong-fang-tea,true,16,0,30,3000000,75000000,15,5,20,30093,120370,96296,4735385
joesguns,true,16,0,10,2500000,62500000,15,5,20,16204,64815,51852,7328571
sigma-cosmetics,true,16,0,5,2300000,57500000,10,3,10,11574,46296,37037,4818960
nectar-net,true,16,0,20,2750000,68750000,20,7,25,27778,111111,88889,5754375
foodnstuff,true,16,0,1,2000000,50000000,10,3,5,9722,38889,31111,2494286
CSEC,true,8,1,57,0,0,1,1,1,11898,47593,38074,0
zer0,true,32,1,75,7500000,187500000,25,8,40,96065,384259,307407,7182651
omega-net,true,32,2,193,65003631,1625090775,29,10,31,268380,1073519,858815,16893992
netlink,false,16,3,395,275000000,6875000000,67,22,56,1234491,4937963,3950370,24325820
rothman-uni,false,16,3,430,242648722,6066218050,51,17,36,1024537,4098148,3278519,17691756
computek,false,0,3,307,236472302,5911807550,62,21,52,890463,3561852,2849481,27273122
summit-uni,false,64,3,475,249624829,6240620725,45,15,55,998843,3995370,3196296,29208708
lexo-corp,false,64,4,659,716700385,17917509625,66,22,62,2022870,8091481,6473185,42834715
galactic-cyber,false,0,5,841,841789433,21044735825,60,20,79,2345370,9381481,7505185,56708626
deltaone,false,0,5,836,1575170903,39379272575,79,26,54,3066852,12267407,9813926,51309806
univ-energy,false,32,4,891,1125249224,28131230600,82,27,87,3391759,13567037,10853630,52675155
zb-def,false,0,4,799,1095407538,27385188450,56,19,73,2080741,8322963,6658370,77822583
applied-energetics,false,0,4,844,743898164,18597454100,60,20,71,2353704,9414815,7531852,44879710
vitalife,false,16,5,865,748008509,18700212725,88,29,74,3533333,14133333,11306667,27806863
.,false,16,4,510,0,0,1,1,1,32870,131481,105185,0
kuai-gong,false,0,5,1097,22141792508,553544812700,99,33,92,5037176,20148704,16118963,677373647
clarkinc,false,0,5,1100,15571399556,389284988900,55,18,45,2810185,11240741,8992593,511162615
b-and-a,false,0,5,1089,29226148425,730653710625,72,24,74,3639259,14557037,11645630,1129129907
The-Cave,false,0,5,925,0,0,1,1,1,52083,208333,166667,0
fulcrumassets,false,0,5,1114,1000000,25000000,99,33,1,5115093,20460370,16368296,327
helios,false,32,5,834,674628578,16865714450,94,31,75,3638704,14554815,11643852,23986584
stormtech,false,0,5,947,1104459602,27611490050,86,29,87,3779722,15118889,12095111,45123997
4sigma,false,0,5,1143,19859139618,496478490450,64,21,93,3395926,13583704,10866963,1074118679
powerhouse-fitness,false,32,5,1086,900000000,22500000000,58,19,59,2925370,11701481,9361185,36756884
ecorp,false,0,5,1056,54203044462,1355076111550,99,33,99,4849259,19397037,15517630,1853524295
nwo,false,0,5,1202,27390693398,684767334950,99,33,88,5518426,22073704,17658963,731619534
megacorp,false,0,5,1294,46171317892,1154282947300,99,33,99,5940093,23760370,19008296,1288929199
fulcrumtech,false,2048,5,1222,1419858011,35496450275,88,29,84,4987778,19951111,15960889,42443918
omnitek,false,128,5,951,19577884396,489447109900,90,30,97,3971759,15887037,12709630,836744037
blade,false,64,5,900,27158099993,678952499825,94,31,62,3925926,15703704,12562963,739840448
titan-labs,false,32,5,838,849084517,21227112925,71,24,65,2763796,11055185,8844148,37941269
silver-helix,true,64,2,150,45000000,1125000000,10,10,30,78704,314815,251852,38594118
crush-fitness,false,0,2,263,44804651,1120116275,38,13,27,471944,1887778,1510222,5575133
I.I.I.I,false,32,3,363,0,0,1,1,1,26065,104259,83407,0
millenium-fitness,false,256,3,491,250000000,6250000000,48,16,32,1100370,4401481,3521185,15267587
zb-institute,false,64,5,766,955222997,23880574925,79,26,81,2810833,11243333,8994667,50924459
aevum-police,false,64,4,431,391466703,9786667575,76,25,49,1525741,6102963,4882370,23572814
rho-construction,false,16,3,490,534857698,13371442450,56,19,58,1279630,5118519,4094815,49091577
global-pharm,false,32,4,809,1735356168,43383904200,84,28,87,3155370,12621481,10097185,86125159
omnia,false,32,5,935,953560115,23839002875,93,31,63,4034954,16139815,12911852,25682611
zeus-med,false,0,5,815,1337015448,33425386200,85,28,76,3216435,12865741,10292593,56865350
infocomm,false,0,5,916,761374998,19034374950,71,24,73,3020185,12080741,9664593,34965641
solaris,false,128,5,817,778476819,19461920475,78,26,70,2959537,11838148,9470519,34063689
aerocorp,false,0,5,908,1090698001,27267450025,81,27,64,3414259,13657037,10925630,37312201
unitalife,false,32,4,825,1084774977,27119374425,72,24,75,2759259,11037037,8829630,56022439
icarus,false,0,5,871,980068095,24501702375,90,30,94,3638426,14553704,11642963,44310701
defcomm,false,0,5,982,943427563,23585689075,92,31,51,4191852,16767407,13413926,19799850
nova-med,false,0,4,786,1137122431,28428060775,65,22,66,2374537,9498148,7598519,61632080
microdyne,false,16,5,853,553608756,13840218900,69,23,80,2734120,10936481,8749185,31182149
taiyang-digital,false,0,5,947,813767277,20344181925,71,24,75,3122083,12488333,9990667,37142454
run4theh111z,false,256,4,533,0,0,1,1,1,33935,135741,108593,0
n00dles,true,4,0,1,70000,1750000,1,1,3000,9306,37222,29778,55853731
